Index,Assembly_Seat,Seat_Type,Constituency_Name,Bhartiya_Janta_Party,Indian_National_Congress,SHS,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party,BJP,INC,,,UBT,Shivsena,NCP,Sharad_Pawar
176,Nanded_South,GEN,Nanded,,46943,37066,,,,,,,,,,,,,,,,43351,,11119.8,32860.1,,,18162.34,7783.86,4224.87,9858.03
177,Naigaon,GEN,Nanded,117750,63366,,,,,,,,,,,,,,,,,,BJP,82425,44356.2,,,24727.5,10597.5,5702.94,13306.86
178,Deglur,SC,Nanded,66907,108840,,,,,,,,,,,,,,,,,,INC,46834.9,76188,,,14050.47,6021.63,9795.6,22856.4
179,Mukhed,GEN,Nanded,102573,70710,,,,,,,,,,,,,,,,,,BJP,71801.1,49497,,,21540.33,9231.57,6363.9,14849.1
180,Akkalkuwa,ST,Nandurbar,,82770,80674,,,,,,,,,,,,,,,,,,24202.2,57939,,,39530.26,16941.54,7449.3,17381.7
181,Shahada,ST,Nandurbar,94931,86940,,,,,,,,,,,,,,,,,,,66451.7,60858,,,19935.51,8543.79,7824.6,18257.4
182,Nandurbar,ST,Nandurbar,121605,,,,,,,,,,,,,,,,,,,BJP,85123.5,0,,,25537.05,10944.45,0,0
183,Navapur,ST,Nandurbar,58579,74652,,,,,,,,,,,,,,,,,63317,,41005.3,52256.4,,,12301.59,5272.11,6718.68,15676.92
184,Sakri,ST,Nandurbar,68901,,,,,,,,,,,,,,,,,,76166,,48230.7,0,,,14469.21,6201.09,0,0
185,Shirpur,ST,Nandurbar,120403,,,,,,,,,,,,,,,,,,71229,BJP,84282.1,0,,,25284.63,10836.27,0,0
186,Sinnar,GEN,Nashik,,,94939,,,,,,,,,,,,,,,,,,28481.7,29103.3,,,46520.11,19937.19,20372.31,47535.39
